Wordpair,True label,bert KL score,bert COS score,empirical KL score,empirical COS score
"['abstraction', 'concept']",1,481.604248046875,tensor(0.7194),0.8600120544433594,0.46957868
"['accusation', 'statement']",1,505.810546875,tensor(0.7130),0.491302490234375,0.6141321
"['ache', 'pain']",1,361.076904296875,tensor(0.8394),2.6804542541503906,0.792009
"['acid', 'chemical']",1,570.4931030273438,tensor(0.7287),4.122764587402344,0.6688291
"['acoustics', 'discipline']",1,696.685546875,tensor(0.5654),1.5450286865234375,0.2169103
"['adjective', 'word']",1,518.9141845703125,tensor(0.7477),2.316486358642578,0.54793906
"['adrenaline', 'chemical']",1,708.2918701171875,tensor(0.6080),10.036247253417969,0.3185321
"['adrenaline', 'neurotransmitter']",1,3314.5361328125,tensor(0.5560),15.365882873535156,0.4601583
"['aesthetic', 'doctrine']",1,862.3416748046875,tensor(0.6288),1.5562019348144531,0.25206384
"['affection', 'feeling']",1,428.3851318359375,tensor(0.7165),1.0888137817382812,0.42875603
"['affidavit', 'document']",1,697.8182373046875,tensor(0.7055),0.99346923828125,0.4909209
"['agony', 'feeling']",1,393.99755859375,tensor(0.7080),10.133733749389648,0.5588775
"['aide', 'serviceman']",1,789.71630859375,tensor(0.6037),5.084068298339844,0.51717037
"['aircraft', 'vehicle']",1,680.558349609375,tensor(0.6660),0.8888626098632812,0.69587916
"['aircrew', 'crew']",1,1060.47705078125,tensor(0.5810),3.1775665283203125,0.6381318
"['airman', 'worker']",1,1388.0980224609375,tensor(0.4722),2.5705108642578125,0.53281397
"['airplane', 'vehicle']",1,641.6119384765625,tensor(0.6667),9.401687622070312,0.66822845
"['alcohol', 'fluid']",1,889.3702392578125,tensor(0.6133),3.63739013671875,0.28727418
"['alderman', 'representative']",1,505.7342529296875,tensor(0.6504),1.55145263671875,0.39338923
"['ale', 'alcohol']",1,576.983154296875,tensor(0.7447),14.535026550292969,0.4799216
"['ale', 'fluid']",1,1032.185302734375,tensor(0.5514),8.358901977539062,0.196772
"['alga', 'microorganism']",1,2915.35546875,tensor(0.5260),7.5867767333984375,0.7121451
"['algebra', 'mathematics']",1,878.3525390625,tensor(0.7105),0.8356971740722656,0.7933232
"['algebra', 'science']",1,920.8411865234375,tensor(0.5487),16.146697998046875,0.54851
"['alley', 'thoroughfare']",1,1302.515625,tensor(0.6591),1.7930335998535156,0.58826977
"['almond', 'tree']",1,705.9767456054688,tensor(0.6342),3.777172088623047,0.5245944
"['alpha', 'symbol']",1,1001.035400390625,tensor(0.5502),3.1813621520996094,0.37569895
"['ambassador', 'diplomat']",1,456.26043701171875,tensor(0.8438),0.8581428527832031,0.7076417
