Wordpair,True label,bert KL score,bert COS score,empirical KL score,empirical COS score
"['abstraction', 'concept']",1,11517.083984375,tensor(0.7194),0.8700180053710938,0.46957868
"['accusation', 'statement']",1,9371.63671875,tensor(0.7130),0.5415458679199219,0.6141321
"['ache', 'pain']",1,8698.9677734375,tensor(0.8394),3.0226211547851562,0.792009
"['acid', 'chemical']",1,15130.599609375,tensor(0.7287),4.581935882568359,0.6688291
"['acoustics', 'discipline']",1,29298.0234375,tensor(0.5654),1.6434860229492188,0.2169103
"['adjective', 'word']",1,8299.34765625,tensor(0.7477),1.7962799072265625,0.54793906
"['adrenaline', 'chemical']",1,14080.4072265625,tensor(0.6080),10.117973327636719,0.3185321
"['adrenaline', 'neurotransmitter']",1,34103.3359375,tensor(0.5560),15.6307373046875,0.4601583
"['aesthetic', 'doctrine']",1,31231.82421875,tensor(0.6288),1.5458641052246094,0.25206384
"['affection', 'feeling']",1,12917.79296875,tensor(0.7165),1.0911216735839844,0.42875603
"['affidavit', 'document']",1,18012.68359375,tensor(0.7055),1.1780204772949219,0.4909209
"['agony', 'feeling']",1,13876.3369140625,tensor(0.7080),10.387502670288086,0.5588775
"['aide', 'serviceman']",1,23138.328125,tensor(0.6037),5.528472900390625,0.51717037
"['aircraft', 'vehicle']",1,14819.9609375,tensor(0.6660),0.9253807067871094,0.69587916
"['aircrew', 'crew']",1,19171.4609375,tensor(0.5810),2.6227149963378906,0.6381318
"['airman', 'worker']",1,47833.98046875,tensor(0.4722),2.693286895751953,0.53281397
"['airplane', 'vehicle']",1,12375.5595703125,tensor(0.6667),9.610616683959961,0.66822845
"['alcohol', 'fluid']",1,22174.8125,tensor(0.6133),3.111053466796875,0.28727418
"['alderman', 'representative']",1,23448.474609375,tensor(0.6504),1.8403358459472656,0.39338923
"['ale', 'alcohol']",1,12886.798828125,tensor(0.7447),16.118938446044922,0.4799216
"['ale', 'fluid']",1,24663.53515625,tensor(0.5514),8.876136779785156,0.196772
"['alga', 'microorganism']",1,45447.83203125,tensor(0.5260),8.307575225830078,0.7121451
"['algebra', 'mathematics']",1,22170.478515625,tensor(0.7105),0.9285354614257812,0.7933232
"['algebra', 'science']",1,20597.5546875,tensor(0.5487),16.3975830078125,0.54851
"['alley', 'thoroughfare']",1,26564.22265625,tensor(0.6591),2.0043411254882812,0.58826977
"['almond', 'tree']",1,10224.115234375,tensor(0.6342),3.0668106079101562,0.5245944
"['alpha', 'symbol']",1,29463.490234375,tensor(0.5502),3.3174209594726562,0.37569895
"['ambassador', 'diplomat']",1,11952.0283203125,tensor(0.8438),0.8596115112304688,0.7076417
"['ambassador', 'worker']",1,24970.6484375,tensor(0.5602),0.9796981811523438,0.3793004
"['amphetamine', 'drug']",1,15596.2666015625,tensor(0.7399),2.33026123046875,0.69282365
"['amphibian', 'vehicle']",1,35271.109375,tensor(0.5075),21.370925903320312,0.4021765
"['anaesthetic', 'drug']",1,17973.650390625,tensor(0.6422),11.176618576049805,0.46552542
"['anaesthetist', 'adult']",1,22896.947265625,tensor(0.5276),2.3159751892089844,0.2869893
"['anaesthetist', 'professional']",1,15960.736328125,tensor(0.4897),15.654541015625,0.37288308
"['analogy', 'inference']",1,16538.93359375,tensor(0.7107),0.9551315307617188,0.6322878
"['anatomy', 'discipline']",1,21539.748046875,tensor(0.6813),10.120824813842773,0.4001617
"['aneurysm', 'disorder']",1,33127.3125,tensor(0.5765),1.2304954528808594,0.5999374
"['anger', 'emotion']",1,12580.6796875,tensor(0.7947),1.7127456665039062,0.6962952
"['anger', 'feeling']",1,13947.875,tensor(0.7530),4.215423583984375,0.5643999
"['animosity', 'emotion']",1,21838.16796875,tensor(0.6499),9.909650802612305,0.5295637
"['animosity', 'feeling']",1,16052.6162109375,tensor(0.7450),9.765785217285156,0.411777
"['annals', 'periodical']",1,26923.80078125,tensor(0.5946),2.4123802185058594,0.4351383
"['anorexia', 'disorder']",1,35325.8046875,tensor(0.6233),9.902471542358398,0.5916621
"['answer', 'statement']",1,18979.10546875,tensor(0.6724),9.616540908813477,0.58886063
"['ant', 'insect']",1,17858.76953125,tensor(0.7480),6.1183624267578125,0.75597095
"['ant', 'invertebrate']",1,33582.109375,tensor(0.5570),24.223106384277344,0.6064859
"['antibiotic', 'drug']",1,12671.7724609375,tensor(0.6738),22.07294464111328,0.6400577
"['antibody', 'molecule']",1,15240.271484375,tensor(0.6874),1.1420936584472656,0.67402846
"['antiquity', 'era']",1,13870.529296875,tensor(0.6875),3.2377090454101562,0.47695407
"['apathy', 'feeling']",1,15358.51171875,tensor(0.7646),39.64727020263672,0.54391795
"['ape', 'animal']",1,7725.4033203125,tensor(0.7641),11.613250732421875,0.65316343
"['ape', 'mammal']",1,17620.326171875,tensor(0.7064),26.809471130371094,0.60178185
"['aphid', 'insect']",1,33521.75390625,tensor(0.6392),10.794797897338867,0.73145336
"['aphid', 'invertebrate']",1,37203.25390625,tensor(0.6431),2.3239784240722656,0.6686724
"['apostle', 'believer']",1,21109.177734375,tensor(0.7050),1.6784706115722656,0.547883
"['apple', 'solid']",1,23217.533203125,tensor(0.5248),4.506622314453125,0.18266223
"['apprehension', 'fear']",1,10666.337890625,tensor(0.7944),1.8846092224121094,0.6919192
"['aquarium', 'container']",1,23400.595703125,tensor(0.6541),1.4586257934570312,0.46424523
"['aqueduct', 'conduit']",1,21505.96875,tensor(0.6451),1.9280509948730469,0.37301978
"['archbishop', 'clergyman']",1,20398.560546875,tensor(0.7171),0.9597549438476562,0.6746212
"['archbishop', 'priest']",1,16116.154296875,tensor(0.8060),15.719879150390625,0.7077994
"['arithmetic', 'discipline']",1,32853.12890625,tensor(0.5430),21.125152587890625,0.4102256
"['armchair', 'chair']",1,11275.841796875,tensor(0.7401),1.9997825622558594,0.52118355
"['army', 'organization']",1,17111.00390625,tensor(0.6561),5.939884185791016,0.39888608
"['aromatherapy', 'therapy']",1,16211.2890625,tensor(0.5853),1.2185554504394531,0.5320868
"['artery', 'vessel']",1,16193.8046875,tensor(0.5875),2.868907928466797,0.4863503
"['artillery', 'armament']",1,17761.845703125,tensor(0.7336),0.868408203125,0.733308
"['artiste', 'entertainer']",1,21340.74609375,tensor(0.7765),1.4715957641601562,0.68921834
"['artiste', 'performer']",1,19181.0703125,tensor(0.7795),16.27899169921875,0.6095242
"['asp', 'reptile']",1,50524.65625,tensor(0.3369),21.72400665283203,0.30522054
"['asp', 'snake']",1,41388.984375,tensor(0.3413),34.69824981689453,0.4134413
"['asp', 'vertebrate']",1,54462.88671875,tensor(0.2708),66.23683166503906,0.20195517
"['aspirin', 'drug']",1,25858.158203125,tensor(0.6154),31.679031372070312,0.6429263
"['association', 'organization']",1,17547.328125,tensor(0.7841),9.386676788330078,0.61908203
"['assortment', 'collection']",1,6906.9716796875,tensor(0.7591),0.6146736145019531,0.5829815
"['asthma', 'illness']",1,16532.806640625,tensor(0.7479),1.5466461181640625,0.68102705
"['astronomy', 'science']",1,6784.55029296875,tensor(0.7310),9.577392578125,0.7670901
"['asylum', 'shelter']",1,12646.6201171875,tensor(0.7710),2.4849166870117188,0.497374
"['attorney', 'professional']",1,11585.6962890625,tensor(0.5648),9.787300109863281,0.48345503
"['attraction', 'phenomenon']",1,18523.56640625,tensor(0.6965),0.5424270629882812,0.47129008
"['auto', 'vehicle']",1,13858.826171875,tensor(0.7809),31.635135650634766,0.6613976
"['autobiography', 'record']",1,6818.4921875,tensor(0.6326),1.0735435485839844,0.4069609
